Pueblo Dam,,,,,,,
PMF Snow Only,,,,,,,
PMF Only Snowmelt,,,,,,,
3100100021,,,,,,,
157,8189.209,,,,,,
157.5,8182.944,,,,,,
158,8177.61,,,,,,
158.5,8172.584,,,,,,
159,8168.032,,,,,,
159.5,8162.625,,,,,,
160,8157.258,,,,,,
160.5,8151.858,,,,,,
161,8147.401,,,,,,
161.5,8141.399,,,,,,
162,8136.026,,,,,,
162.5,8129.66,,,,,,
163,8125.235,,,,,,
163.5,8118.7,,,,,,
164,8113.196,,,,,,
164.5,8108.129,,,,,,
165,8101.801,,,,,,
165.5,8095.484,,,,,,
166,8089.531,,,,,,
166.5,8083.711,,,,,,
167,8078.404,,,,,,
167.5,8072.058,,,,,,
168,8066.384,,,,,,
168.5,8060.001,,,,,,
169,8053.594,,,,,,
169.5,8046.727,,,,,,
170,8039.523,,,,,,
170.5,8032.367,,,,,,
171,8023.734,,,,,,
171.5,8016.158,,,,,,
172,8008.258,,,,,,
172.5,7998.773,,,,,,
173,7989.556,,,,,,
173.5,7980.54,,,,,,
174,7971.699,,,,,,
174.5,7962.025,,,,,,
175,7952.515,,,,,,
175.5,7943.17,,,,,,
176,7932.992,,,,,,
176.5,7922.979,,,,,,
177,7913.127,,,,,,
177.5,7903.429,,,,,,
178,7892.88,,,,,,
178.5,7882.471,,,,,,
179,7873.202,,,,,,
179.5,7864.07,,,,,,
180,7854.078,,,,,,
180.5,7844.229,,,,,,
181,7833.525,,,,,,
181.5,7824.971,,,,,,
182,7815.567,,,,,,
182.5,7807.318,,,,,,
183,7798.223,,,,,,
183.5,7789.285,,,,,,
184,7780.505,,,,,,
184.5,7772.882,,,,,,
185,7765.412,,,,,,
185.5,7758.091,,,,,,
186,7750.913,,,,,,
186.5,7743.871,,,,,,
187,7737.957,,,,,,
187.5,7732.159,,,,,,
188,7726.462,,,,,,
188.5,7721.853,,,,,,
189,7718.312,,,,,,
189.5,7713.815,,,,,,
190,7710.309,,,,,,
190.5,7707.689,,,,,,
191,7704.727,,,,,,
191.5,7703.971,,,,,,
192,7702.586,,,,,,
192.5,7703.191,,,,,,
193,7702.775,,,,,,
193.5,7702.83,,,,,,
194,7702.817,,,,,,
194.5,7702.953,,,,,,
195,7703.092,,,,,,
195.5,7703.302,,,,,,
196,7702.8,,,,,,
196.5,7703.115,,,,,,
197,7702.76,,,,,,
197.5,7702.915,,,,,,
198,7702.621,,,,,,
198.5,7702.741,,,,,,
199,7702.541,,,,,,
199.5,7702.553,,,,,,
200,7703.342,,,,,,
200.5,7702.961,,,,,,
201,7703.088,,,,,,
201.5,7702.94,,,,,,
202,7703.115,,,,,,
202.5,7703.434,,,,,,
203,7702.837,,,,,,
203.5,7703.311,,,,,,
204,7702.864,,,,,,
204.5,7702.508,,,,,,
205,7703.272,,,,,,
205.5,7703.197,,,,,,
206,7703.334,,,,,,
206.5,7702.733,,,,,,
207,7703.443,,,,,,
207.5,7702.513,,,,,,
208,7702.997,,,,,,
208.5,7702.954,,,,,,
209,7703.443,,,,,,
209.5,7702.514,,,,,,
210,7703.206,,,,,,
210.5,7702.539,,,,,,
211,7702.503,,,,,,
211.5,7703.053,,,,,,
212,7703.101,,,,,,
212.5,7702.533,,,,,,
213,7703.229,,,,,,
213.5,7703.086,,,,,,
214,7703.027,,,,,,
214.5,7703.007,,,,,,
215,7703.001,,,,,,
215.5,7703,,,,,,
216,7703,,,,,,
216.5,7703,,,,,,
217,7702,,,,,,
217.5,7702,,,,,,
218,7700,,,,,,
218.5,7699,,,,,,
219,7697,,,,,,
219.5,7694,,,,,,
220,7692,,,,,,
220.5,7688,,,,,,
221,7685,,,,,,
221.5,7681,,,,,,
222,7677,,,,,,
222.5,7672,,,,,,
223,7667,,,,,,
223.5,7662,,,,,,
224,7656,,,,,,
224.5,7650,,,,,,
225,7644,,,,,,
225.5,7638,,,,,,
226,7631,,,,,,
226.5,7624,,,,,,
227,7617,,,,,,
227.5,7610,,,,,,
228,7603,,,,,,
228.5,7595,,,,,,
229,7587,,,,,,
229.5,7579,,,,,,
230,7571,,,,,,
230.5,7562,,,,,,
231,7554,,,,,,
231.5,7545,,,,,,
232,7537,,,,,,
232.5,7528,,,,,,
233,7519,,,,,,
233.5,7510,,,,,,
234,7501,,,,,,
234.5,7492,,,,,,
235,7483,,,,,,
235.5,7474,,,,,,
236,7465,,,,,,
236.5,7456,,,,,,
237,7447,,,,,,
237.5,7438,,,,,,
238,7429,,,,,,
238.5,7420,,,,,,
239,7412,,,,,,
239.5,7403,,,,,,
240,7394,,,,,,
240.5,7386,,,,,,
241,7377,,,,,,
241.5,7367,,,,,,
242,7357,,,,,,
242.5,7346,,,,,,
243,7335,,,,,,
243.5,7323,,,,,,
244,7310,,,,,,
244.5,7297,,,,,,
245,7284,,,,,,
245.5,7270,,,,,,
246,7256,,,,,,
246.5,7241,,,,,,
247,7226,,,,,,
247.5,7211,,,,,,
248,7196,,,,,,
248.5,7180,,,,,,
249,7164,,,,,,
249.5,7149,,,,,,
250,7133,,,,,,
250.5,7117,,,,,,
251,7101,,,,,,
251.5,7085,,,,,,
252,7070,,,,,,
252.5,7054,,,,,,
253,7039,,,,,,
253.5,7024,,,,,,
254,7009,,,,,,
254.5,6994,,,,,,
255,6980,,,,,,
255.5,6966,,,,,,
256,6953,,,,,,
256.5,6940,,,,,,
257,6927,,,,,,
257.5,6915,,,,,,
258,6904,,,,,,
258.5,6893,,,,,,
259,6883,,,,,,
259.5,6873,,,,,,
260,6864,,,,,,
260.5,6856,,,,,,
261,6849,,,,,,
261.5,6843,,,,,,
262,6837,,,,,,
262.5,6832,,,,,,
263,6829,,,,,,
263.5,6826,,,,,,
264,6825,,,,,,
264.5,6824,,,,,,
265,6824,,,,,,
265.5,6824,,,,,,
266,6825,,,,,,
266.5,6825,,,,,,
267,6826,,,,,,
267.5,6827,,,,,,
268,6828,,,,,,
268.5,6829,,,,,,
269,6830,,,,,,
269.5,6831,,,,,,
270,6832,,,,,,
270.5,6834,,,,,,
271,6835,,,,,,
271.5,6837,,,,,,
272,6838,,,,,,
272.5,6840,,,,,,
273,6842,,,,,,
273.5,6843,,,,,,
274,6845,,,,,,
274.5,6847,,,,,,
275,6849,,,,,,
275.5,6851,,,,,,
276,6853,,,,,,
276.5,6855,,,,,,
277,6857,,,,,,
277.5,6858,,,,,,
278,6860,,,,,,
278.5,6862,,,,,,
279,6864,,,,,,
